Date,SP500,SP500 Ret,Port Ret,Rolling_beta_1_week,Rolling_beta_2_week,Rolling_1_month
2019-03-06,2771.449951,-0.002842663,0.011158735,-0.042113577,-0.029696947,0.01720565
2019-03-07,2748.929932,-0.00354337,0.012972188,-0.034343398,-0.030667794,0.01486142
2019-03-08,2743.070068,-0.000926769,0.014009818,-0.041005178,-0.042890885,0.01105393
2019-03-11,2783.300049,0.006323126,-0.01170772,-0.038762782,-0.042774547,0.009219465
2019-03-12,2791.52002,0.00128072,-0.0019255,-0.148424103,-0.066039631,0.000657996
2019-03-13,2810.919922,0.003007727,0.008063928,-0.16749057,-0.073104885,-0.000827202
2019-03-14,2808.47998,-0.000377141,-0.017002329,-0.161083539,-0.06473256,0.005812847
2019-03-15,2822.47998,0.002159538,-0.027848891,-0.093173815,-0.077177947,-0.037320087
2019-03-18,2832.939941,0.001606497,-0.037857826,-0.108487201,-0.068485454,-0.040029381
2019-03-19,2832.570068,-5.67E-05,0.005359246,-0.05876938,-0.060164769,-0.056153312
2019-03-20,2824.22998,-0.001280603,0.027760654,-0.02910035,-0.060930089,-0.054669174
2019-03-21,2854.879883,0.004687781,0.002812729,-0.036933255,-0.064648481,-0.054907386
2019-03-22,2800.709961,-0.008319704,0.014787897,-0.018756181,-0.065439389,-0.050540278
2019-03-25,2798.360107,-0.000364535,-0.000425355,-0.065881139,-0.082091899,-0.069656451
2019-03-26,2818.459961,0.003108269,0.011666554,-0.078985451,-0.080094505,-0.07059371
2019-03-27,2805.370117,-0.002021703,-0.005741837,-0.068121352,-0.085201462,-0.05826814
2019-03-28,2815.439941,0.001556101,-0.005341836,-0.058937951,-0.075467867,-0.055977581
2019-03-29,2834.399902,0.002914857,-0.015791285,-0.098725049,-0.065953811,-0.055652719
2019-04-01,2867.189941,0.00499534,0.019407925,-0.114513186,-0.067289877,-0.061694478
2019-04-02,2867.23999,7.58E-06,0.028030228,-0.036977077,-0.029390544,-0.048185381
2019-04-03,2873.399902,0.000932027,0.012623464,-0.027691873,-0.029119331,-0.045043393
2019-04-04,2879.389893,0.000904403,0.000962329,0.026812645,-0.031340608,-0.051793435
2019-04-05,2892.73999,0.002008924,-0.021897771,0.02145025,-0.03745303,-0.04872118
2019-04-08,2895.77002,0.000454668,-0.009851902,0.002756066,-0.037423042,-0.051229452
2019-04-09,2878.199951,-0.002643106,0.011843585,-0.003242115,-0.042492599,-0.051169081
2019-04-10,2888.209961,0.0015078,0.005980227,-0.020970947,-0.049048448,-0.057316269
2019-04-11,2888.320068,1.66E-05,0.003890285,-0.005030547,-0.042087384,-0.05775787
2019-04-12,2907.409912,0.002860949,-0.009252766,-0.044323879,-0.041392321,-0.057282656
2019-04-15,2905.580078,-0.000273418,0.030206938,-0.079461491,-0.00851098,-0.057371642
2019-04-16,2907.060059,0.000221155,-0.017051696,-0.063882428,-0.019229614,-0.057543794
2019-04-17,2900.449951,-0.000988628,-0.008698826,-0.051665217,-0.018483082,-0.05038768
2019-04-18,2905.030029,0.00068525,1.50E-05,-0.034998559,-0.018781577,-0.041938049
2019-04-22,2907.969971,0.000439291,0.024812453,-0.036220428,-0.017680401,-0.039789098
2019-04-23,2933.679932,0.003822813,0.003954954,-0.013866571,-0.008723984,-0.03020266
2019-04-24,2927.25,-0.000952915,0.000957473,-0.01434182,-0.028141792,-0.028892532
2019-04-25,2926.169922,-0.000160273,0.046621063,-0.01194114,-0.027844377,-0.031061158
2019-05-31,2752.060059,-0.005768823,0.02032123,-0.004284837,-0.024581522,-0.031358588
2019-06-03,2744.449951,-0.001202592,0.081776726,-0.023948806,-0.042185928,-0.039429555
2019-06-04,2803.27002,0.009209617,0.003903398,-0.015953928,-0.024829665,-0.032319812
2019-06-05,2826.149902,0.003530261,-0.018124095,-0.052113576,-0.034440688,-0.035955106
2019-06-06,2843.48999,0.00265651,-0.001806271,-0.059463125,-0.040282728,-0.03805357
2019-06-07,2873.340088,0.004535328,-0.013950547,-0.059581632,-0.041683206,-0.037874211
2019-06-10,2886.72998,0.002019131,0.022489872,-0.061968116,-0.048126528,-0.036895125
2019-06-11,2885.719971,-0.000151978,-0.003580015,-0.068389579,-0.045174157,-0.036082929
2019-06-12,2879.840088,-0.000885812,0.003349088,-0.060975996,-0.041241209,-0.035619629
2019-06-13,2891.639893,0.001775835,-0.012222327,-0.047209244,-0.045555707,-0.038386513
2019-06-14,2886.97998,-0.000700435,-0.033622733,-0.015596759,-0.050717446,-0.038315132
2019-06-17,2889.669922,0.000404465,-0.03164265,0.002379764,-0.035697584,-0.027901191
2019-06-18,2917.75,0.00419984,0.032610565,0.020857547,-0.028839385,-0.028420327
2019-06-19,2926.459961,0.001294509,0.005005622,0.040212379,-0.020735095,-0.020851819
2019-06-20,2954.179932,0.004094357,0.003577169,0.049988109,-0.021760426,-0.020898651
2019-06-21,2950.459961,-0.000547218,-0.012062204,0.058803879,-0.019277791,-0.021034775
2019-06-24,2945.350098,-0.000752801,-0.004776871,0.06237962,-0.004405193,-0.018317082
2019-06-25,2917.379883,-0.004143941,0.007808167,0.069486894,0.052266728,-0.017908531
2019-06-26,2913.780029,-0.000536222,0.022739458,0.048898014,0.022843878,-0.017333137
2019-06-27,2924.919922,0.001657218,-4.34E-05,0.035690558,0.021060584,-0.018650116
2019-06-28,2941.76001,0.002493259,-0.025665575,0.059498405,0.021516671,-0.018931854
2019-07-01,2964.330078,0.003319321,0.028101632,-0.052563709,0.020758723,-0.019371962
2019-07-02,2973.01001,0.001269811,-0.008336677,-0.001957703,0.027856801,-0.014126761
2019-07-03,2995.820068,0.003319354,-0.015069852,-0.008154192,0.026740953,-0.015665457
2019-07-05,2990.409912,-0.000785002,-0.002740649,-0.032558413,0.022833767,-0.019808941
2019-07-08,2975.949951,-0.0021051,-0.02126938,-0.03414902,0.024480337,-0.019050125
2019-07-09,2979.629883,0.000536698,-0.015676206,0.010295824,0.028989492,-0.013170107
2019-07-10,2993.070068,0.001954563,-0.027143806,0.040581075,0.031656187,-0.01267682
2019-07-11,2999.909912,0.000991329,0.00545683,0.028742988,-0.002927783,-0.013698736
2019-07-12,3013.77002,0.002001895,-0.004947667,0.038834819,-0.003657041,-0.01191583
2019-07-15,3014.300049,7.64E-05,0.027051726,0.001175089,-0.011639212,-0.002672987
2019-07-16,3004.040039,-0.001480764,0.003773849,-0.012607962,-0.015111959,0.015581579
2019-07-17,2984.419922,-0.002845786,0.013178561,-0.00828664,-0.018507858,0.007170217
2019-07-18,2995.110107,0.001552862,-0.004977571,-0.027253522,-0.019376235,0.005027545
2019-07-19,2976.610107,-0.002690841,0.013076029,-0.057362569,-0.015054769,0.004716895
2019-07-22,2985.030029,0.001226752,-0.014735576,-0.076742244,-0.027242344,0.004480441
2019-07-23,3005.469971,0.002963689,0.019883228,-0.083626163,-0.020155192,-0.000654426
2019-07-24,3019.560059,0.002031279,-0.008491524,-0.041299272,-0.031810379,0.005132487
2019-07-25,3003.669922,-0.002291466,0.012787414,-0.043528961,-0.033224514,0.005021781
2019-07-26,3025.860107,0.00319664,0.011834672,-0.078566213,-0.031316567,0.001640447
2019-07-29,3020.969971,-0.000702437,0.010900724,-0.05746544,-0.021286465,0.000262111
2019-07-30,3013.179932,-0.001121342,-0.019973984,-0.040961647,-0.045729849,-0.002862834
2019-07-31,2980.379883,-0.004753443,0.009434925,0.002148591,-0.032198875,-0.015099462
2019-08-01,2953.560059,-0.003925817,-0.030319716,0.000349366,-0.032237515,-0.022808444
2019-08-02,2932.050049,-0.003174427,-0.005171578,0.062208288,0.012530862,-0.00629624
2019-08-05,2844.73999,-0.013128801,-0.000942874,0.03775658,0.023595396,-0.005352671
2019-08-06,2881.77002,0.005616741,0.005711488,0.048440379,0.02776553,-0.005253221
2019-08-07,2883.97998,0.000332922,0.006037675,0.086700788,0.039597877,0.004224131
2019-08-08,2938.090088,0.008072867,-0.010294616,0.057071393,0.052061238,0.006313684
2019-08-09,2918.649902,-0.002883104,-0.004454475,0.005638152,0.022680551,-0.004318905
