Date,BABA,FB
2018-12-26,138.0,134.17999267578125
2018-12-27,138.4499969482422,134.52000427246094
2018-12-28,139.08999633789062,133.1999969482422
2018-12-31,137.07000732421875,131.08999633789062
2019-01-02,136.6999969482422,135.67999267578125
2019-01-03,130.60000610351562,131.74000549316406
2019-01-04,139.75,137.9499969482422
2019-01-07,143.10000610351562,138.0500030517578
2019-01-08,146.7899932861328,142.52999877929688
2019-01-09,151.9199981689453,144.22999572753906
2019-01-10,151.69000244140625,144.1999969482422
2019-01-11,151.32000732421875,143.8000030517578
2019-01-14,149.27000427246094,145.38999938964844
2019-01-15,150.8800048828125,148.9499969482422
2019-01-16,154.83999633789062,147.5399932861328
2019-01-17,155.97000122070312,148.3000030517578
2019-01-18,157.02000427246094,150.0399932861328
2019-01-22,152.14999389648438,147.57000732421875
2019-01-23,152.02999877929688,144.3000030517578
2019-01-24,155.86000061035156,145.8300018310547
2019-01-25,159.2100067138672,149.00999450683594
2019-01-28,158.9199981689453,147.47000122070312
2019-01-29,156.8800048828125,144.19000244140625
2019-01-30,166.82000732421875,150.4199981689453
2019-01-31,168.49000549316406,166.69000244140625
2019-02-01,167.97000122070312,165.7100067138672
2019-02-04,166.6999969482422,169.25
2019-02-05,171.8300018310547,171.16000366210938
2019-02-06,171.52000427246094,170.49000549316406
2019-02-07,166.9600067138672,166.3800048828125
2019-02-08,167.36000061035156,167.3300018310547
2019-02-11,167.4499969482422,165.7899932861328
2019-02-12,168.7100067138672,165.0399932861328
2019-02-13,169.39999389648438,164.07000732421875
2019-02-14,168.3800048828125,163.9499969482422
2019-02-15,166.14999389648438,162.5
2019-02-19,170.17999267578125,162.2899932861328
2019-02-20,170.7100067138672,162.55999755859375
2019-02-21,171.66000366210938,160.0399932861328
2019-02-22,176.9199981689453,161.88999938964844
2019-02-25,183.25,164.6199951171875
2019-02-26,183.5399932861328,164.1300048828125
2019-02-27,184.5800018310547,162.80999755859375
2019-02-28,183.02999877929688,161.4499969482422
2019-03-01,183.8800048828125,162.27999877929688
2019-03-04,187.25,167.3699951171875
2019-03-05,185.0,171.25999450683594
2019-03-06,184.1699981689453,172.50999450683594
2019-03-07,177.32000732421875,169.1300048828125
2019-03-08,175.02999877929688,169.60000610351562
2019-03-11,180.41000366210938,172.07000732421875
2019-03-12,180.6300048828125,171.9199981689453
2019-03-13,180.6999969482422,173.3699951171875
2019-03-14,180.36000061035156,170.1699981689453
2019-03-15,180.97000122070312,165.97999572753906
2019-03-18,181.8300018310547,160.47000122070312
2019-03-19,182.13999938964844,161.57000732421875
2019-03-20,181.27999877929688,165.44000244140625
2019-03-21,181.5,166.0800018310547
2019-03-22,176.25999450683594,164.33999633789062
2019-03-25,178.77000427246094,166.2899932861328
2019-03-26,178.0800018310547,167.67999267578125
2019-03-27,177.02999877929688,165.8699951171875
2019-03-28,177.72999572753906,165.5500030517578
2019-03-29,182.4499969482422,166.69000244140625
2019-04-01,180.88999938964844,168.6999969482422
2019-04-02,181.74000549316406,174.1999969482422
2019-04-03,178.32000732421875,173.5399932861328
2019-04-04,181.07000732421875,176.02000427246094
2019-04-05,185.35000610351562,175.72000122070312
2019-04-08,186.5,174.92999267578125
2019-04-09,187.19000244140625,177.5800018310547
2019-04-10,186.19000244140625,177.82000732421875
2019-04-11,184.97999572753906,177.50999450683594
2019-04-12,188.91000366210938,179.10000610351562
2019-04-15,183.07000732421875,179.64999389648438
2019-04-16,185.77999877929688,178.8699951171875
2019-04-17,187.5500030517578,178.77999877929688
2019-04-18,186.94000244140625,178.27999877929688
2019-04-22,185.3800048828125,181.44000244140625
2019-04-23,187.2899932861328,183.77999877929688
2019-04-24,185.6699981689453,182.5800018310547
2019-04-25,187.8800048828125,193.25999450683594
2019-04-26,187.08999633789062,191.49000549316406
2019-04-29,186.94000244140625,194.77999877929688
2019-04-30,185.57000732421875,193.39999389648438
2019-05-01,189.30999755859375,193.02999877929688
2019-05-02,190.38999938964844,192.52999877929688
2019-05-03,195.2100067138672,195.47000122070312
2019-05-06,188.24000549316406,193.8800048828125
2019-05-07,181.42999267578125,189.77000427246094
2019-05-08,179.58999633789062,189.5399932861328
2019-05-09,179.0399932861328,188.64999389648438
2019-05-10,178.0,188.33999633789062
2019-05-13,170.00999450683594,181.5399932861328
2019-05-14,174.83999633789062,180.72999572753906
2019-05-15,177.60000610351562,186.27000427246094
2019-05-16,175.57000732421875,186.99000549316406
2019-05-17,169.57000732421875,185.3000030517578
2019-05-20,160.64999389648438,182.72000122070312
2019-05-21,163.42999267578125,184.82000732421875
2019-05-22,158.8300018310547,185.32000732421875
2019-05-23,156.0,180.8699951171875
2019-05-24,155.0,181.05999755859375
2019-05-28,154.80999755859375,184.30999755859375
2019-05-29,152.47999572753906,182.19000244140625
2019-05-30,151.07000732421875,183.00999450683594
2019-05-31,149.25999450683594,177.47000122070312
2019-06-03,149.91000366210938,164.14999389648438
2019-06-04,154.14999389648438,167.5
2019-06-05,151.64999389648438,168.1699981689453
2019-06-06,151.5,168.3300018310547
2019-06-07,154.22999572753906,173.35000610351562
2019-06-10,159.85000610351562,174.82000732421875
2019-06-11,162.64999389648438,178.10000610351562
2019-06-12,160.0399932861328,175.0399932861328
2019-06-13,160.3300018310547,177.47000122070312
2019-06-14,158.10000610351562,181.3300018310547
2019-06-17,159.91000366210938,189.00999450683594
2019-06-18,165.50999450683594,188.47000122070312
2019-06-19,165.4600067138672,187.47999572753906
2019-06-20,168.25,189.52999877929688
2019-06-21,167.5500030517578,191.13999938964844
2019-06-24,168.10000610351562,192.60000610351562
2019-06-25,165.8000030517578,188.83999633789062
2019-06-26,168.99000549316406,187.66000366210938
2019-06-27,170.89999389648438,189.5
2019-06-28,169.4499969482422,193.0
2019-07-01,175.0500030517578,193.0
2019-07-02,175.4499969482422,195.0
2019-07-03,174.6699981689453,197.1999969482422
2019-07-05,173.3000030517578,196.39999389648438
2019-07-08,168.4499969482422,195.75999450683594
2019-07-09,168.8000030517578,199.2100067138672
2019-07-10,166.92999267578125,202.72999572753906
2019-07-11,166.5500030517578,201.22999572753906
2019-07-12,169.07000732421875,204.8699951171875
2019-07-15,173.5,203.91000366210938
2019-07-16,174.19000244140625,203.83999633789062
2019-07-17,174.82000732421875,201.8000030517578
2019-07-18,172.8000030517578,200.77999877929688
2019-07-19,172.99000549316406,198.36000061035156
2019-07-22,174.0,202.32000732421875
2019-07-23,178.08999633789062,202.36000061035156
2019-07-24,178.6699981689453,204.66000366210938
2019-07-25,177.2899932861328,200.7100067138672
2019-07-26,178.74000549316406,199.75
2019-07-29,177.02000427246094,195.94000244140625
2019-07-30,174.10000610351562,197.0399932861328
2019-07-31,173.11000061035156,194.22999572753906
2019-08-01,165.64999389648438,192.72999572753906
2019-08-02,161.0,189.02000427246094
2019-08-05,153.6699981689453,181.72999572753906
2019-08-06,157.42999267578125,184.50999450683594
2019-08-07,159.1699981689453,185.14999389648438
2019-08-08,162.22000122070312,190.16000366210938
2019-08-09,159.1199951171875,187.85000610351562
2019-08-12,159.30999755859375,185.3699951171875
2019-08-13,164.02999877929688,188.4499969482422
2019-08-14,162.05999755859375,179.7100067138672
